text1,text2,similarity
The game was fun,I am playing football,0.0
The room is clean,I am studying for exams,0.0
The weather is cold,The computer is running,0.46
I am scared,The cat is sleeping,0.11
There is a thunderstorm,I am scared,0.0
It is sunny today,The game was fun,0.01
I am learning a new language,I am coding a project,0.59
I am happy today,I am doing yoga,0.42
The movie was boring,I am going to the gym,0.07
The room is clean,I am playing football,0.18
The weather is hot,The weather is hot,0.87
I am coding a project,It is raining today,0.0
There is a thunderstorm,I am calm and relaxed,0.0
The phone is ringing,The weather is cold,0.5
A storm is coming,The dog is barking,0.33
The dog is barking,I am coding a project,0.06
I am cooking dinner,The bed is comfortable,0.0
The weather is cold,The phone is ringing,0.65
The weather is hot,I feel excited,0.0
I am cleaning my room,The computer is running,0.0
The food tastes great,The cat is sleeping,0.32
The car is parked outside,The weather is hot,0.56
The car is parked outside,I am going to the gym,0.07
It is raining today,The bed is comfortable,0.15
The food tastes great,I am cooking dinner,0.12
The weather is cold,I am calm and relaxed,0.18
It might snow today,I am coding a project,0.11
There is a thunderstorm,I am coding a project,0.39
I am happy today,I am going to the gym,0.66
I am studying for exams,I am learning a new language,0.27
I am cooking dinner,I feel confident,0.24
I am doing yoga,The movie was boring,0.0
It might snow today,The weather is cold,0.0
There is a thunderstorm,The weather is cold,0.35
The bed is comfortable,The weather is hot,0.64
I am calm and relaxed,I am studying for exams,0.26
The weather is hot,I am scared,0.09
The computer is running,The bed is comfortable,0.56
I am cooking dinner,The computer is running,0.09
I am a bit upset,The cat is sleeping,0.0
I am cooking dinner,I feel excited,0.36
I am studying for exams,The food tastes great,0.0
The dog is barking,I feel excited,0.15
I am reading a book,I feel excited,0.17
I am learning a new language,I am learning a new language,1.0
I am a bit upset,I am going to the gym,0.56
The cat is sleeping,The movie was boring,0.12
The phone is ringing,I am feeling great,0.0
I am playing football,I am watching a movie,0.63
The phone is ringing,I am a bit upset,0.17
I am scared,The cat is sleeping,0.0
The weather is cold,The car is parked outside,0.63
The game was fun,There is a thunderstorm,0.0
I am studying for exams,The food tastes great,0.0
I am learning a new language,It is windy today,0.15
The movie was boring,I am doing yoga,0.06
I feel confident,The game was fun,0.0
I am going to the gym,I am coding a project,0.51
I am happy today,I am cooking dinner,0.41
There is a thunderstorm,The weather is hot,0.21
I am cleaning my room,I am studying for exams,0.52
I feel nervous,I am coding a project,0.53
I am studying for exams,There is a thunderstorm,0.16
I feel excited,I feel nervous,0.73
It is windy today,The computer is running,0.26
I am calm and relaxed,I am feeling great,0.41
It might snow today,The weather is cold,0.18
I am watching a movie,I am cleaning my room,0.47
I am feeling great,I am playing football,0.54
I am cooking dinner,I am reading a book,0.42
I am watching a movie,It is windy today,0.0
I am watching a movie,The phone is ringing,0.2
I am happy today,I am going to the gym,0.56
The computer is running,I am cooking dinner,0.1
It might snow today,The weather is hot,0.05
I feel confident,I feel excited,0.52
The bed is comfortable,I am calm and relaxed,0.0
It is a beautiful day,A storm is coming,0.36
It is windy today,The food tastes great,0.02
The room is clean,I am calm and relaxed,0.0
The cat is sleeping,The phone is ringing,0.42
It might snow today,I am learning a new language,0.0
The cat is sleeping,The food tastes great,0.18
It is sunny today,It is windy today,0.74
I feel nervous,The phone is ringing,0.1
I feel confident,It might snow today,0.0
I am calm and relaxed,I am happy today,0.26
I am a bit upset,I feel confident,0.2
The weather is hot,The weather is hot,0.83
A storm is coming,I am happy today,0.0
I am a bit upset,It is a beautiful day,0.15
I am learning a new language,The phone is ringing,0.11
I am scared,I am calm and relaxed,0.52
I am going to the gym,It is cloudy today,0.0
There is a thunderstorm,The weather is hot,0.3
I am feeling great,I am reading a book,0.62
The room is clean,I am playing football,0.0
The weather is cold,It might snow today,0.0
It is raining today,It is windy today,0.86
The movie was boring,I am cleaning my room,0.0
There is a thunderstorm,It is raining today,0.31
The bed is comfortable,I am feeling great,0.03
I am scared,It is cloudy today,0.04
I feel excited,The bed is comfortable,0.07
I am calm and relaxed,The phone is ringing,0.13
It is a beautiful day,The phone is ringing,0.33
I feel nervous,The cat is sleeping,0.1
It is cloudy today,The phone is ringing,0.14
It is sunny today,It is a beautiful day,0.42
It might snow today,I am doing yoga,0.0
I feel nervous,The dog is barking,0.06
It might snow today,I am feeling great,0.13
The car is parked outside,I am cleaning my room,0.0
I am sad today,I am going to the gym,0.52
I am a bit upset,There is a thunderstorm,0.19
The room is clean,I feel confident,0.0
The food tastes great,I am happy today,0.03
The weather is hot,I am cleaning my room,0.07
There is a thunderstorm,The game was fun,0.16
I am feeling great,I am playing football,0.53
The room is clean,I am playing football,0.0
The cat is sleeping,I am coding a project,0.15
I am studying for exams,I am happy today,0.24
The room is clean,I am cleaning my room,0.29
I am very tired,The movie was boring,0.1
The game was fun,I am going to the gym,0.29
I am doing yoga,It is windy today,0.0
I am feeling great,The phone is ringing,0.03
I am watching a movie,I feel confident,0.08
The movie was boring,I am cleaning my room,0.0
I feel excited,I am watching a movie,0.37
The movie was boring,I am playing football,0.15
I am very tired,The bed is comfortable,0.17
A storm is coming,The movie was boring,0.16
The computer is running,It is raining today,0.17
It is cloudy today,I am going to the gym,0.0
The room is clean,A storm is coming,0.2
I am cleaning my room,There is a thunderstorm,0.09
The weather is cold,There is a thunderstorm,0.41
I feel confident,I am playing football,0.52
I am reading a book,The cat is sleeping,0.0
I am very tired,The bed is comfortable,0.14
I feel nervous,I am happy today,0.45
It is windy today,I am happy today,0.21
I am very tired,I am reading a book,0.63
It is raining today,I am learning a new language,0.15
The weather is cold,The weather is cold,1.0
I am cooking dinner,It is cloudy today,0.01
The cat is sleeping,It is cloudy today,0.21
I feel nervous,I am studying for exams,0.22
I feel confident,I am feeling great,0.52
The movie was boring,I am going to the gym,0.4
I feel confident,There is a thunderstorm,0.04
I feel excited,I am watching a movie,0.4
I am playing football,The cat is sleeping,0.11
I am sad today,It is a beautiful day,0.0
I am a bit upset,I am doing yoga,0.27
I am scared,The weather is cold,0.17
The game was fun,I am feeling great,0.0
The movie was boring,I feel nervous,0.0
I am cooking dinner,I am happy today,0.34
The dog is barking,I am going to the gym,0.22
I am playing football,I feel nervous,0.19
The room is clean,It is a beautiful day,0.32
It might snow today,I am learning a new language,0.0
I am coding a project,It is raining today,0.08
I am watching a movie,I am reading a book,0.63
It might snow today,It is windy today,0.66
The computer is running,It might snow today,0.14
There is a thunderstorm,I am going to the gym,0.16
The computer is running,It might snow today,0.0
I feel excited,The cat is sleeping,0.0
A storm is coming,I am sad today,0.0
The weather is hot,I am going to the gym,0.43
I am watching a movie,I feel excited,0.38
The weather is hot,I am sad today,0.17
The car is parked outside,I am learning a new language,0.0
I am calm and relaxed,The computer is running,0.08
The car is parked outside,The computer is running,0.25
I am coding a project,I am watching a movie,0.53
It is sunny today,It is raining today,0.75
I am scared,I am learning a new language,0.81
I am doing yoga,I am cooking dinner,0.6
I feel nervous,I am learning a new language,0.23
A storm is coming,It might snow today,0.0
I am playing football,It is a beautiful day,0.18
I am going to the gym,I feel excited,0.29
I am a bit upset,I am scared,0.33
I am scared,I am playing football,0.78
The weather is hot,I am very tired,0.01
I am watching a movie,I am calm and relaxed,0.38
I am watching a movie,The car is parked outside,0.2
I feel confident,I am learning a new language,0.46
The computer is running,The food tastes great,0.17
The bed is comfortable,The room is clean,0.39
I am very tired,The movie was boring,0.0
I am doing yoga,The movie was boring,0.0
I am calm and relaxed,I am cooking dinner,0.56
I feel excited,The movie was boring,0.11
I am happy today,The movie was boring,0.13
It is a beautiful day,It is windy today,0.34
The cat is sleeping,I am coding a project,0.0
I feel confident,I am calm and relaxed,0.39
There is a thunderstorm,I am feeling great,0.0
I am watching a movie,I am learning a new language,0.58
The weather is hot,I am a bit upset,0.0
I am feeling great,The movie was boring,0.0
The phone is ringing,It is a beautiful day,0.13
I am feeling great,It is windy today,0.19
I am happy today,It is raining today,0.22
I am reading a book,I am a bit upset,0.63
The movie was boring,I am feeling great,0.0
I am calm and relaxed,The cat is sleeping,0.16
I am doing yoga,The room is clean,0.04
The movie was boring,I feel confident,0.1
It is sunny today,I am sad today,0.07
I am reading a book,The weather is cold,0.0
The computer is running,I am very tired,0.19
I feel excited,The bed is comfortable,0.09
The weather is cold,It is raining today,0.06
I am reading a book,The food tastes great,0.0
I am calm and relaxed,It is sunny today,0.0
It is cloudy today,I am very tired,0.07
I am sad today,I am cleaning my room,0.36
I am cooking dinner,The car is parked outside,0.13
I am cleaning my room,It is raining today,0.03
I feel nervous,I am reading a book,0.3
I am going to the gym,I am feeling great,0.52
The movie was boring,I am happy today,0.0
I am reading a book,There is a thunderstorm,0.27
The movie was boring,I am a bit upset,0.0
I am reading a book,I am reading a book,0.96
I am doing yoga,I am a bit upset,0.61
The food tastes great,It is windy today,0.08
The weather is hot,I am watching a movie,0.03
The room is clean,I am watching a movie,0.15
There is a thunderstorm,The weather is hot,0.2
I am happy today,It is sunny today,0.25
I am watching a movie,I am feeling great,0.22
I am sad today,The car is parked outside,0.0
I am studying for exams,The phone is ringing,0.07
I feel confident,The room is clean,0.0
It is cloudy today,The phone is ringing,0.33
There is a thunderstorm,I am a bit upset,0.28
I am learning a new language,The phone is ringing,0.09
I am coding a project,I am happy today,0.35
I am doing yoga,The weather is cold,0.15
The phone is ringing,The game was fun,0.45
The computer is running,I feel nervous,0.0
I am playing football,The bed is comfortable,0.04
It is sunny today,I am studying for exams,0.0
I am learning a new language,It is sunny today,0.03
I am calm and relaxed,I am sad today,0.58
It is cloudy today,The food tastes great,0.12
I am doing yoga,I am feeling great,0.58
I am playing football,I am coding a project,0.49
I am cleaning my room,It is sunny today,0.17
I feel excited,It is sunny today,0.0
I feel nervous,The car is parked outside,0.01
The phone is ringing,The bed is comfortable,0.46
The computer is running,It is sunny today,0.37
I am watching a movie,I am very tired,0.56
The weather is hot,The computer is running,0.53
I am doing yoga,There is a thunderstorm,0.0
I am learning a new language,I am watching a movie,0.57
I feel excited,The food tastes great,0.05
The game was fun,I feel confident,0.12
It is sunny today,The cat is sleeping,0.18
I am studying for exams,I am learning a new language,0.22
I am learning a new language,I am watching a movie,0.55
It is windy today,It is raining today,0.93
The phone is ringing,I am coding a project,0.0
I am very tired,I am feeling great,0.55
The game was fun,The weather is cold,0.33
The weather is cold,The food tastes great,0.25
A storm is coming,I am coding a project,0.29
The game was fun,I am a bit upset,0.13
I am sad today,The room is clean,0.0
The cat is sleeping,The computer is running,0.4
I am watching a movie,The car is parked outside,0.01
I am calm and relaxed,I am very tired,0.29
I am going to the gym,The movie was boring,0.18
I am coding a project,It might snow today,0.0
I am studying for exams,I am very tired,0.55
I am calm and relaxed,I am playing football,0.45
I am coding a project,I am playing football,0.42
I am cleaning my room,The room is clean,0.39
I feel confident,There is a thunderstorm,0.0
I am a bit upset,I am feeling great,0.55
The bed is comfortable,I am very tired,0.19
The cat is sleeping,The room is clean,0.43
I am doing yoga,I am very tired,0.66
I am doing yoga,There is a thunderstorm,0.13
There is a thunderstorm,I am watching a movie,0.38
The cat is sleeping,I am feeling great,0.0
It is sunny today,I am watching a movie,0.05
The food tastes great,A storm is coming,0.0
The food tastes great,I am very tired,0.08
I am playing football,The game was fun,0.1
I am doing yoga,I am coding a project,0.35
I am coding a project,It is cloudy today,0.14
The food tastes great,The cat is sleeping,0.4
The weather is cold,I feel nervous,0.13
It is raining today,I am watching a movie,0.01
I am sad today,The food tastes great,0.11
The dog is barking,It is windy today,0.31
I feel excited,I am scared,0.29
I am going to the gym,It might snow today,0.19
I am learning a new language,I feel confident,0.18
It is cloudy today,I am cleaning my room,0.05
The cat is sleeping,I feel confident,0.0
It is a beautiful day,It is sunny today,0.26
The computer is running,I am very tired,0.13
The cat is sleeping,The weather is hot,0.68
I feel excited,The computer is running,0.0
I am very tired,The weather is cold,0.0
I am scared,I am feeling great,0.53
The room is clean,There is a thunderstorm,0.18
The computer is running,I am scared,0.04
I am reading a book,The car is parked outside,0.0
The phone is ringing,The computer is running,0.32
It is sunny today,I am cooking dinner,0.0
It is windy today,I am happy today,0.1
It is cloudy today,The weather is cold,0.37
The cat is sleeping,The game was fun,0.35
It is raining today,The computer is running,0.16
The computer is running,A storm is coming,0.37
I am studying for exams,I am reading a book,0.25
I am studying for exams,The phone is ringing,0.0
The room is clean,I am coding a project,0.07
I feel nervous,The weather is cold,0.0
The movie was boring,I am studying for exams,0.13
I am coding a project,The room is clean,0.0
I am feeling great,The cat is sleeping,0.0
I am sad today,I am a bit upset,0.53
The movie was boring,The bed is comfortable,0.28
It is sunny today,I am happy today,0.21
I feel nervous,The phone is ringing,0.18
I am feeling great,I am cleaning my room,0.46
It is raining today,I am very tired,0.06
I am doing yoga,It is raining today,0.0
I am doing yoga,The food tastes great,0.05
I am doing yoga,I am learning a new language,0.65
I am happy today,The movie was boring,0.0
I am happy today,I feel nervous,0.43
A storm is coming,I feel excited,0.15
The weather is cold,I am watching a movie,0.14
It is raining today,The bed is comfortable,0.23
I am watching a movie,The cat is sleeping,0.16
The dog is barking,I am coding a project,0.0
I am coding a project,I am learning a new language,0.42
I am going to the gym,I am happy today,0.15
I feel nervous,The room is clean,0.16
I am scared,I am doing yoga,0.78
The game was fun,The cat is sleeping,0.19
It is windy today,A storm is coming,0.32
I am going to the gym,I am going to the gym,0.99
I am scared,I am cooking dinner,0.83
I am cooking dinner,I feel excited,0.23
The weather is hot,A storm is coming,0.34
It is sunny today,I am happy today,0.4
I am scared,I am learning a new language,0.79
I feel confident,I am reading a book,0.18
The weather is hot,I am a bit upset,0.0
I am cleaning my room,I feel confident,0.2
I am watching a movie,I am going to the gym,0.34
I am reading a book,The weather is hot,0.0
I am happy today,It is sunny today,0.22
I am cleaning my room,The game was fun,0.0
It is sunny today,I am a bit upset,0.0
I am scared,I am sad today,0.49
I am cooking dinner,I am watching a movie,0.37
The dog is barking,I am a bit upset,0.16
I am learning a new language,I am a bit upset,0.61
The car is parked outside,I am doing yoga,0.0
I am very tired,There is a thunderstorm,0.0
The game was fun,It is sunny today,0.12
I am learning a new language,There is a thunderstorm,0.19
I am studying for exams,The weather is hot,0.07
The room is clean,I am playing football,0.08
I am going to the gym,The food tastes great,0.19
The computer is running,I am going to the gym,0.07
I am reading a book,The movie was boring,0.0
I am very tired,I am watching a movie,0.39
It is windy today,The food tastes great,0.05
It is sunny today,The food tastes great,0.0
The bed is comfortable,I am learning a new language,0.17
It is raining today,The dog is barking,0.37
I am doing yoga,The movie was boring,0.0
The bed is comfortable,The dog is barking,0.35
I am cooking dinner,It is sunny today,0.01
The bed is comfortable,I am reading a book,0.0
I am very tired,I feel confident,0.31
I am watching a movie,The room is clean,0.0
A storm is coming,It is raining today,0.18
The movie was boring,The computer is running,0.3
The bed is comfortable,I am playing football,0.02
I am very tired,The weather is hot,0.11
It is sunny today,I feel confident,0.17
There is a thunderstorm,I am reading a book,0.34
The weather is hot,The food tastes great,0.33
I am calm and relaxed,The computer is running,0.0
It is cloudy today,I am learning a new language,0.0
I am studying for exams,It is cloudy today,0.12
I am calm and relaxed,I am very tired,0.49
I feel excited,It is cloudy today,0.0
The bed is comfortable,I am reading a book,0.01
The room is clean,The room is clean,1.0
The bed is comfortable,I am a bit upset,0.0
I am a bit upset,I am watching a movie,0.62
The movie was boring,It is a beautiful day,0.0
I am learning a new language,I am learning a new language,1.0
I am going to the gym,The room is clean,0.21
I am coding a project,I am studying for exams,0.54
The room is clean,I am sad today,0.0
I am doing yoga,The dog is barking,0.0
I am going to the gym,I am learning a new language,0.45
I am coding a project,The weather is cold,0.07
I am cleaning my room,I feel excited,0.21
It is windy today,The bed is comfortable,0.29
It is sunny today,I am doing yoga,0.19
The food tastes great,The movie was boring,0.43
I am watching a movie,I am cleaning my room,0.25
I am coding a project,The bed is comfortable,0.01
There is a thunderstorm,I am playing football,0.03
A storm is coming,The movie was boring,0.0
The game was fun,The dog is barking,0.32
The movie was boring,I am doing yoga,0.07
There is a thunderstorm,I am sad today,0.0
I am doing yoga,I am learning a new language,0.53
I am calm and relaxed,It might snow today,0.0
I am cleaning my room,I feel excited,0.07
The car is parked outside,I am cleaning my room,0.0
It is raining today,I am sad today,0.27
The room is clean,The cat is sleeping,0.49
The phone is ringing,The bed is comfortable,0.32
I am happy today,The phone is ringing,0.0
I am going to the gym,I am cooking dinner,0.44
The movie was boring,I am very tired,0.07
I am sad today,The computer is running,0.01
I am scared,I feel excited,0.36
I feel confident,I am watching a movie,0.3
I am reading a book,I am reading a book,1.0
The car is parked outside,The weather is cold,0.47
I am calm and relaxed,The computer is running,0.17
The weather is hot,I am playing football,0.04
The game was fun,I am studying for exams,0.0
It is cloudy today,I am reading a book,0.06
I feel nervous,I am reading a book,0.26
I am feeling great,The food tastes great,0.37
I feel nervous,I am cleaning my room,0.34
There is a thunderstorm,I am doing yoga,0.11
The weather is cold,I feel nervous,0.18
I feel confident,The computer is running,0.18
The movie was boring,I am reading a book,0.0
It is a beautiful day,It is sunny today,0.5
I am playing football,There is a thunderstorm,0.15
I am cleaning my room,I am playing football,0.47
I am playing football,A storm is coming,0.0
There is a thunderstorm,I am cleaning my room,0.0
I am watching a movie,The food tastes great,0.17
The car is parked outside,The room is clean,0.53
It is a beautiful day,I am coding a project,0.04
I am very tired,It is sunny today,0.0
I feel nervous,I feel confident,0.6
I am cleaning my room,It is windy today,0.04
It is sunny today,I am studying for exams,0.16
The computer is running,I am studying for exams,0.0
I feel nervous,I feel excited,0.55
I am playing football,It might snow today,0.11
The computer is running,I am a bit upset,0.0
I am learning a new language,I am a bit upset,0.65
It is sunny today,The weather is cold,0.15
I am studying for exams,It is windy today,0.0
The dog is barking,I am a bit upset,0.0
There is a thunderstorm,I am doing yoga,0.0
I am reading a book,It is sunny today,0.0
There is a thunderstorm,I feel excited,0.02
The car is parked outside,I am reading a book,0.0
It is a beautiful day,It is sunny today,0.4
I am studying for exams,The room is clean,0.0
I am coding a project,It is raining today,0.0
I am studying for exams,I feel nervous,0.4
I am sad today,I am cleaning my room,0.34
The bed is comfortable,It might snow today,0.0
I am watching a movie,It is windy today,0.0
A storm is coming,The room is clean,0.05
The phone is ringing,The food tastes great,0.13
The bed is comfortable,I am cleaning my room,0.02
I am reading a book,It is windy today,0.11
The phone is ringing,I am a bit upset,0.0
I am a bit upset,I am cooking dinner,0.27
It is a beautiful day,I feel nervous,0.11
It is sunny today,I am going to the gym,0.05
I am very tired,I am feeling great,0.38
I am feeling great,There is a thunderstorm,0.0
It might snow today,I am calm and relaxed,0.0
I am cooking dinner,The room is clean,0.0
I am cleaning my room,I am happy today,0.44
It is windy today,I am learning a new language,0.09
I am playing football,I am going to the gym,0.35
The weather is cold,The game was fun,0.06
The cat is sleeping,It is cloudy today,0.06
I feel excited,I am cleaning my room,0.51
It is cloudy today,I am studying for exams,0.0
I am cleaning my room,I feel nervous,0.03
I am coding a project,I am cleaning my room,0.36
The cat is sleeping,A storm is coming,0.06
It is cloudy today,It is raining today,0.7
I am playing football,It is sunny today,0.0
It is a beautiful day,It is a beautiful day,0.92
A storm is coming,The dog is barking,0.28
I am cleaning my room,It is cloudy today,0.0
It is cloudy today,The computer is running,0.2
I am learning a new language,The movie was boring,0.1
It is a beautiful day,I am playing football,0.02
The room is clean,It is cloudy today,0.36
It is a beautiful day,I am a bit upset,0.36
It is a beautiful day,I am coding a project,0.12
The bed is comfortable,The computer is running,0.35
I am happy today,I am happy today,1.0
The weather is cold,It is sunny today,0.37
The computer is running,I am a bit upset,0.0
I am reading a book,The weather is hot,0.0
The weather is hot,It might snow today,0.0
I am feeling great,I am feeling great,1.0
The room is clean,The computer is running,0.62
The dog is barking,It might snow today,0.01
The weather is hot,I am playing football,0.0
It is sunny today,I feel excited,0.0
The computer is running,I am a bit upset,0.14
I am coding a project,It is windy today,0.0
I am doing yoga,I am learning a new language,0.37
The phone is ringing,I am watching a movie,0.0
The weather is hot,I feel excited,0.06
It is windy today,The cat is sleeping,0.38
I am very tired,I am happy today,0.36
It is cloudy today,I am studying for exams,0.14
I am very tired,The movie was boring,0.01
It is cloudy today,I am calm and relaxed,0.01
I am sad today,The food tastes great,0.0
I am watching a movie,I am cooking dinner,0.51
I am watching a movie,I am sad today,0.48
The car is parked outside,The movie was boring,0.1
I am coding a project,The computer is running,0.13
I am cleaning my room,The weather is cold,0.18
I am a bit upset,I am very tired,0.23
The food tastes great,I am watching a movie,0.0
I am feeling great,I am studying for exams,0.67
There is a thunderstorm,The car is parked outside,0.36
I am feeling great,It might snow today,0.0
The phone is ringing,I am learning a new language,0.0
I am happy today,I am cooking dinner,0.3
I am learning a new language,There is a thunderstorm,0.05
I feel confident,I am playing football,0.21
I am a bit upset,I am cleaning my room,0.23
I am reading a book,I am going to the gym,0.27
I am studying for exams,I am playing football,0.25
It is windy today,The room is clean,0.27
I am happy today,I am watching a movie,0.7
I am a bit upset,I am studying for exams,0.23
I am cleaning my room,The weather is cold,0.01
I am happy today,A storm is coming,0.13
I am calm and relaxed,I am a bit upset,0.23
The game was fun,It is raining today,0.0
There is a thunderstorm,I am cooking dinner,0.0
I am going to the gym,I am reading a book,0.31
The weather is cold,It is windy today,0.45
It is windy today,I am going to the gym,0.0
I feel excited,I am coding a project,0.33
I am a bit upset,I am a bit upset,1.0
I am cleaning my room,There is a thunderstorm,0.05
It is raining today,The room is clean,0.08
I am feeling great,The weather is hot,0.11
The cat is sleeping,The car is parked outside,0.69
It is windy today,The bed is comfortable,0.11
I feel nervous,I am scared,0.44
It might snow today,The movie was boring,0.07
The cat is sleeping,I am learning a new language,0.0
I feel confident,The dog is barking,0.0
The computer is running,The weather is hot,0.46
It might snow today,The room is clean,0.09
A storm is coming,I am watching a movie,0.09
I am reading a book,I am happy today,0.26
I am going to the gym,I am feeling great,0.29
The bed is comfortable,The bed is comfortable,0.87
The car is parked outside,It is sunny today,0.35
It is sunny today,I am coding a project,0.0
I am playing football,I am scared,0.35
It is cloudy today,The car is parked outside,0.08
It is cloudy today,It is raining today,0.77
The car is parked outside,I am coding a project,0.0
The dog is barking,I am reading a book,0.12
I feel excited,It is raining today,0.0
I am cooking dinner,The computer is running,0.19
I am scared,I am learning a new language,0.76
A storm is coming,I am cooking dinner,0.14
It is windy today,The food tastes great,0.0
The car is parked outside,I am coding a project,0.0
I am sad today,I feel confident,0.34
I feel nervous,I feel excited,0.66
I feel excited,I am coding a project,0.48
It might snow today,It might snow today,1.0
It is cloudy today,I feel nervous,0.16
I am very tired,I am feeling great,0.61
I feel confident,It is a beautiful day,0.16
It is sunny today,I am scared,0.0
I am happy today,I feel nervous,0.14
I am happy today,I am playing football,0.38
I am happy today,I am doing yoga,0.32
I feel excited,I feel excited,1.0
I am playing football,I am going to the gym,0.45
I am coding a project,I am going to the gym,0.32
I am cooking dinner,The room is clean,0.11
I am sad today,I feel nervous,0.41
The phone is ringing,The weather is cold,0.51
It is windy today,I am feeling great,0.0
I am coding a project,I am a bit upset,0.71
The food tastes great,I am learning a new language,0.17
A storm is coming,The movie was boring,0.0
The cat is sleeping,I am playing football,0.0
I feel excited,The room is clean,0.0
The weather is cold,It is cloudy today,0.24
I am cooking dinner,The computer is running,0.0
The bed is comfortable,I am very tired,0.0
It is a beautiful day,The car is parked outside,0.11
The car is parked outside,I feel nervous,0.0
It is windy today,It is a beautiful day,0.65
I am sad today,It is windy today,0.16
I am calm and relaxed,A storm is coming,0.09
It is cloudy today,I am calm and relaxed,0.0
The room is clean,I am happy today,0.0
The dog is barking,I feel confident,0.0
I am feeling great,It is windy today,0.11
The game was fun,A storm is coming,0.0
I am calm and relaxed,I am calm and relaxed,1.0
It is sunny today,I am cleaning my room,0.19
The dog is barking,I am coding a project,0.0
The car is parked outside,I am scared,0.0
It is cloudy today,There is a thunderstorm,0.3
The car is parked outside,The weather is hot,0.56
The weather is hot,I am calm and relaxed,0.0
It is sunny today,I am coding a project,0.11
I am sad today,The cat is sleeping,0.0
The game was fun,I am scared,0.0
It might snow today,The room is clean,0.0
I am doing yoga,It is raining today,0.0
The car is parked outside,The food tastes great,0.0
I feel nervous,The weather is cold,0.0
There is a thunderstorm,I feel excited,0.0
I am sad today,The bed is comfortable,0.04
I am a bit upset,I am a bit upset,0.95
I am cooking dinner,I am very tired,0.31
I feel excited,The movie was boring,0.02
I feel confident,I am calm and relaxed,0.44
The phone is ringing,The weather is hot,0.32
I am playing football,I am happy today,0.4
I am going to the gym,I am sad today,0.2
I am going to the gym,I feel nervous,0.21
The movie was boring,I feel confident,0.0
I am a bit upset,It is windy today,0.0
It is sunny today,I am playing football,0.1
I am coding a project,I am cooking dinner,0.22
The game was fun,I am cooking dinner,0.0
I feel excited,The food tastes great,0.0
It is windy today,The game was fun,0.0
I am going to the gym,The room is clean,0.0
I am cleaning my room,I am happy today,0.33
It is raining today,I am doing yoga,0.18
I am scared,The dog is barking,0.0
I am feeling great,It is a beautiful day,0.1
It is windy today,The bed is comfortable,0.07
The room is clean,I am playing football,0.02
It is a beautiful day,It might snow today,0.14
I am learning a new language,It is windy today,0.02
The game was fun,The movie was boring,0.6
I am calm and relaxed,I feel excited,0.04
A storm is coming,I am sad today,0.03
